3_years_annualised_%_,on_going_charge_%_,name,asset_class
3.09,0.44,Legal & General Managed Monthly Income Trust I Class Distribution,Bonds
3.06,0.65,Merian Corporate Bond Fund R GBP Inc,Bonds
2.66,0.59,ASI Corporate Bond Fund Class I Acc,Bonds
4.95,0.74,BNY Mellon Investment Funds - Newton Multi-Asset Diversified Return Fund Institutional W Income,Alternatives and Other
9.86,0.92,Fidelity Global Dividend Fund W-Accumulation,Global
9.78,0.82,Franklin UK Mid Cap Fund W(acc),UK
5.61,0.67,Threadneedle Dollar Bond Fund Z Income GBP,Bonds
9.21,0.1,Fidelity Index Europe ex UK P GBP Income,Europe
11.32,0.6,Baillie Gifford Global Income Growth Fund B Accumulation,Global
6.93,0.16,iShares Global Property Securities Equity Index Fund (UK) H Inc,Alternatives and Other
5.29,0.8,M&G Episode Allocation Fund Sterling I Inc,Alternatives and Other
3.06,0.65,Merian Corporate Bond Fund R GBP Acc,Bonds
4.97,0.73,BNY Mellon Investment Funds - Newton Multi-Asset Diversified Return Fund Institutional W Acc,Alternatives and Other
4.76,0.78,M&G Global Macro Bond Fund Sterling I Acc,Bonds
2.45,0.15,AXA Sterling Buy and Maintain Credit Fund Z Acc Gross,Bonds
2.85,0.78,Kames Investment Grade Bond Fund GBP B Inc,Bonds
6.92,0.18,iShares Global Property Securities Equity Index Fund (UK) H Acc,Alternatives and Other
4.32,0.83,LF Canlife Global Macro Bond Fund C GBP Income,Bonds
6.81,1.1,LF Majedie UK Focus Class X Income,UK
2.3,0.62,Smith & Williamson Fixed Interest Fund B,Bonds
2.95,0.69,Janus Henderson Sterling Bond Unit Trust I Inc,Bonds
2.95,0.61,BNY Mellon Investment Funds - Newton Long Corporate Bond Fund Institutional Accumulation,Bonds
2.86,0.78,Kames Investment Grade Bond Fund GBP B Acc,Bonds
3.73,0.62,BlackRock Sterling Strategic Bond Fund D GBP Inc,Bonds
5.43,0.83,Franklin UK Managers' Focus Fund W(acc),UK
3.06,0.69,Janus Henderson Sterling Bond Unit Trust I Acc,Bonds
4.32,0.83,LF Canlife Global Macro Bond Fund C GBP Accumulation,Bonds
6.94,0.93,FP CRUX UK Fund B Inc,UK
8.55,0.91,JPM Europe Fund C - Net Income,Europe
6.8,1.1,LF Majedie UK Focus Class X Accumulation,UK
7.3,0.7,M&G Pan European Select Fund Sterling I Inc,Europe
11.74,0.63,Baillie Gifford Japanese Income Growth Fund B GBP Inc,Japan
3.7,0.62,BlackRock Sterling Strategic Bond Fund D GBP Acc,Bonds
8.59,0.87,JPM Europe Fund C - Net Accumulation,Europe
8.58,1.18,Barclays UK Opportunities Fund R Dis GBP,UK
8.75,0.12,Vanguard FTSE Developed Europe ex UK Equity Index Inc,Europe
2.66,0.12,iShares Corporate Bond Index Fund (UK) H Inc,Bonds
10.02,0.97,ASI Emerging Markets Income Equity Fund Platform 1-Acc-GBP-Unhedged,Global
6.6,0.93,FP CRUX UK Fund B Acc,UK
3.22,0.84,M&G Optimal Income Fund Sterling I Acc,Bonds
12.62,0.9,Fidelity Asian Dividend Fund W Acc,Asia and Emerging Markets
9.12,0.85,Investec Global Quality Equity Income Fund I Inc-2 GBP,Global
11.34,0.99,"
Sarasin Global Dividend Fund (Class P Inc)",Global
7.38,0.37,"
ASI MyFolio Market IV Fund Platform 1-Acc-GBP-Unhedged",Alternatives and Other
7.85,0.94,Fidelity Global Property Fund Class W GBP Income,Alternatives and Other
3.48,0.46,Legal & General Mixed Investment 0-35% Fund I Class Distribution,Alternatives and Other
8.57,1.18,Barclays UK Opportunities Fund R Acc GBP,UK
2.64,0.12,iShares Corporate Bond Index Fund (UK) H Acc,Bonds
4.64,0.8,"
BNY Mellon Investment Funds - Newton UK Opportunities Fund Institutional W Income",UK
8.75,0.12,Vanguard FTSE Developed Europe ex UK Equity Index Acc,Europe
8.55,0.79,BMO Responsible UK Equity Fund 2 Acc,UK
8.52,0.83,BMO Responsible UK Equity Fund 2 Inc,UK
8.01,0.64,Goldman Sachs Europe CORE® Equity Portfolio R Inc GBP,Europe
3.49,0.46,Legal & General Mixed Investment 0-35% Fund I Class Accumulation,Alternatives and Other
4.7,0.26,LF Prudential Risk Managed Passive Fund 1 P Income,Alternatives and Other
11.74,0.63,Baillie Gifford Japanese Income Growth Fund B GBP Acc,Japan
6.26,0.91,Fidelity Special Situations Fund W-Accumulation,UK
2.48,0.64,Royal London GMAP Conservative Fund M GBP Inc,Bonds
10.94,1.85,"
Schroder International Selection Fund Emerging Asia A Distribution GBP AV",–
14.15,1.29,Schroder International Selection Fund Greater China C Distribution GBP AV,Asia and Emerging Markets
4.64,0.8,"
BNY Mellon Investment Funds - Newton UK Opportunities Fund Institutional W Accumulation",UK
7.75,0.24,iShares Emerging Markets Equity Index Fund (UK) H Acc,Global
8.08,0.77,Smith & Williamson Far Eastern Income and Growth Fund B,Asia and Emerging Markets
11.69,0.9,JPM Global Equity Income Fund C - Net Accumulation,Global
4.71,0.26,LF Prudential Risk Managed Passive Fund 1 P Accumulation,Alternatives and Other
6.92,0.22,BlackRock Consensus 85 Fund D Acc,Alternatives and Other
7.46,0.81,First State Global Property Securities Fund Class B (Income) GBP,Alternatives and Other
7.48,0.2,Fidelity Index Emerging Markets P Income,Global
6.13,0.36,"
ASI MyFolio Market III Fund Platform 1-Acc-GBP-Unhedged",Alternatives and Other
8.36,0.3,"
ASI MyFolio Market V Fund Platform 1-Acc-GBP-Unhedged",Alternatives and Other
11.52,0.98,Jupiter Japan Income Fund I Inc,Japan
15.02,1.85,"
Schroder International Selection Fund BRIC (Brazil, Russia, India, China) A Distribution GBP AV",–
8.14,1.15,GAM Funds - GAM Emerging Equity Institutional GBP Acc,–
5.73,1.0,Premier Ethical Fund Class C Income Shares,UK
4.33,0.35,Royal London European Corporate Bond Fund Z Inc,Bonds
11.41,0.99,"
Sarasin Global Dividend Fund (Class P Acc)",Global
7.51,0.8,First State Global Property Securities Fund Class B (Accumulation) GBP,Alternatives and Other
13.56,0.14,Legal & General Global 100 Index Trust I Class Distribution,Global
7.35,1.1,River and Mercantile UK Recovery Fund B Inc,UK
11.52,0.98,Jupiter Japan Income Fund I Acc,Japan
10.03,0.86,M&G Global Dividend Fund Sterling I Acc,Global
5.77,1.06,Sentinel Universal Portfolio Class B Inc,Alternatives and Other
7.74,0.34,Legal & General Global Emerging Markets Index Fund I Class Distribution,Global
13.56,0.14,Legal & General Global 100 Index Trust I Class Accumulation,Global
3.13,1.29,"
Architas MA Active Moderate Income Fund A Income Shares",Alternatives and Other
3.34,1.09,Architas MA Active Moderate Income Fund S Income Shares,Alternatives and Other
5.77,0.67,BNY Mellon Investment Funds - Newton Multi-Asset Balanced Fund Institutional W Income,Alternatives and Other
7.43,0.91,Liontrust UK Growth Fund I Inc,UK
7.13,0.45,Barclays Wealth Global Markets 3 R Dis GBP,Alternatives and Other
5.86,1.06,Sentinel Universal Portfolio B Accumulation,Alternatives and Other
3.15,1.29,"
Architas MA Active Moderate Income Fund A Accumulation Shares",Alternatives and Other
7.82,0.96,Lazard Managed Balanced Fund A Inc,Alternatives and Other
7.74,0.34,Legal & General Global Emerging Markets Index Fund I Class Accumulation,Global
3.34,1.09,Architas MA Active Moderate Income Fund S Accumulation Shares,Alternatives and Other
5.9,0.72,Investec UK Alpha Fund J GBP Acc,UK
7.13,0.45,Barclays Wealth Global Markets 3 R Acc GBP,Alternatives and Other
7.58,0.1,Fidelity Index Japan P GBP Income,Japan
6.05,0.25,LF Prudential Risk Managed Passive Fund 3 P Income,Alternatives and Other
7.83,0.96,Lazard Managed Balanced Fund A Acc,Alternatives and Other
8.52,0.93,Liontrust Sustainable Future Cautious Managed Fund Class 2 Net Income,Alternatives and Other
9.41,0.84,Unicorn UK Smaller Companies B Inc,UK
9.3,0.87,Artemis Global Growth Fund I Acc,Global
8.09,1.6,Jupiter Merlin Balanced I Inc,Alternatives and Other
2.08,0.82,Barclays Sterling Bond Fund R Dis GBP,Bonds
7.34,0.93,Liontrust Sustainable Future Defensive Managed Fund Class 2 Net Income,Alternatives and Other
7.56,0.79,EdenTree UK Equity Growth Fund B Income,UK
5.79,0.82,Investec UK Alpha I GBP Inc,UK
6.04,0.25,LF Prudential Risk Managed Passive Fund 3 P Accumulation,Alternatives and Other
8.3,0.93,BlackRock UK Equity D Inc,UK
6.37,0.73,Smith & Williamson UK Equity Growth Fund B Income,UK
2.09,0.82,Barclays Sterling Bond Fund R Acc GBP,Bonds
8.08,1.6,Jupiter Merlin Balanced I Acc,Alternatives and Other
9.1,0.83,J O Hambro Capital Management Global Opportunities Fund Offshore GBP A Shares,Global
7.33,0.32,Legal & General Multi-Index 6 Fund I Class Distribution,Alternatives and Other
8.31,0.93,BlackRock UK Equity D Acc,UK
7.45,0.18,HSBC Japan Index Fund Income C,Japan
24.86,0.52,Baillie Gifford American Fund B Accumulation,North America
3.83,0.33,Legal & General Multi-Index 3 Fund I Class Distribution,Alternatives and Other
6.09,0.95,Architas Multi-Manager UK Equity Fund S Net Accumulation Shares,UK
8.75,0.45,Barclays Wealth Global Markets 4 R Acc GBP,Alternatives and Other
8.63,0.83,Smith & Williamson Multi-Manager Global Investment B Class Shares,Alternatives and Other
3.55,0.99,"
Architas MA Blended Reserve Fund Class A Inc",Alternatives and Other
3.78,0.79,Architas MA Blended Reserve Fund Class S Inc,Alternatives and Other
5.48,0.22,BlackRock Consensus 70 Fund D Acc,Alternatives and Other
3.29,1.11,BMO MM Lifestyle 3 Fund B Inc,Alternatives and Other
7.03,0.92,Fidelity UK Select W Acc,UK
7.33,0.32,Legal & General Multi-Index 6 Fund I Class Accumulation,Alternatives and Other
11.14,0.23,ASI World Equity Enhanced Index Fund Class B Acc,Global
24.86,0.52,Baillie Gifford American Fund B Income,North America
3.83,0.33,Legal & General Multi-Index 3 Fund I Class Accumulation,Alternatives and Other
4.33,1.23,SVS Cornelian Managed Growth D Income,Alternatives and Other
7.47,0.18,HSBC Japan Index Fund Accumulation C,Japan
7.04,0.9,JPM Natural Resources Fund C - Net Income,Alternatives and Other
3.26,1.19,SVS Cornelian Cautious D Inc,Alternatives and Other
3.57,0.99,"
Architas MA Blended Reserve Fund Class A Acc",Alternatives and Other
3.81,0.79,Architas MA Blended Reserve Fund Class S Acc,Alternatives and Other
5.56,1.06,BMO MM Lifestyle 5 Fund B Inc,Alternatives and Other
6.61,0.26,LF Prudential Risk Managed Passive Fund 4 P Income,Alternatives and Other
3.91,0.65,M&G European Corporate Bond Fund Sterling I Inc,Bonds
4.8,1.28,"
Architas MA Active Intermediate Income Fund Class A Net Income Shares",Alternatives and Other
6.54,0.42,Architas Multi Asset Passive Intermediate Fund S Net Accumulation Shares,Alternatives and Other
4.57,1.02,BMO MM Lifestyle 4 Fund B Inc,Alternatives and Other
5.92,1.11,BMO MM Lifestyle 6 Fund B Inc,Alternatives and Other
6.25,0.33,Legal & General Multi-Index 5 Fund I Class Distribution,Alternatives and Other
11.35,0.76,Royal London Sustainable Leaders Trust Class C Inc,UK
3.26,1.19,SVS Cornelian Cautious D Acc,Alternatives and Other
4.31,1.23,SVS Cornelian Managed Growth D Accumulation,Alternatives and Other
4.72,0.22,BlackRock Consensus 60 Fund D Acc,Alternatives and Other
3.74,0.6,Capital Group Global Bond Fund (LUX) Zd GBP,Bonds
7.58,0.1,Fidelity Index Japan P Accumulation,Japan
11.39,0.19,HSBC FTSE All-World Index Fund C Income,Global
11.97,0.93,Schroder Global Equity Fund Z Income GBP,Global
4.58,0.34,"
ASI MyFolio Market II Fund Platform 1-Acc-GBP-Unhedged",Alternatives and Other
6.14,0.84,AXA Framlington UK Growth Fund Z GBP Inc,UK
2.18,0.67,Fidelity Strategic Bond Fund Y Acc,Bonds
4.81,0.33,Legal & General Multi-Index 4 Fund I Class Distribution,Alternatives and Other
5.23,0.26,LF Prudential Risk Managed Passive Fund 2 P Income,Alternatives and Other
4.62,0.95,Quilter Investors Managed Fund U2 (GBP) Income,Alternatives and Other
11.35,0.76,"
Royal London Sustainable Leaders Trust Class C Acc",UK
4.79,1.28,"
Architas MA Active Intermediate Income Fund Class A Net Accumulation Shares",Alternatives and Other
7.59,0.11,iShares Japan Equity Index Fund (UK) H Acc,Japan
6.26,0.33,Legal & General Multi-Index 5 Fund I Class Accumulation,Alternatives and Other
6.62,0.26,LF Prudential Risk Managed Passive Fund 4 P Accumulation,Alternatives and Other
4.97,1.08,Architas Multi Asset Active Intermediate Income Fund S Net Income Shares,Alternatives and Other
6.51,0.47,Architas Multi Asset Passive Intermediate Fund D Net Accumulation Shares,Alternatives and Other
4.81,0.33,Legal & General Multi-Index 4 Fund I Class Accumulation,Alternatives and Other
4.61,0.95,Quilter Investors Managed Fund U2 (GBP) Accumulation,Alternatives and Other
9.06,0.86,Smith & Williamson Oriental Growth B,Asia and Emerging Markets
5.24,0.26,LF Prudential Risk Managed Passive Fund 2 P Accumulation,Alternatives and Other
4.97,1.08,Architas Multi Asset Active Intermediate Income Fund S Net Accumulation Shares,Alternatives and Other
6.17,0.84,AXA Framlington UK Growth Fund Z GBP Acc,UK
5.43,0.83,AXA Framlington UK Select Opportunities Fund ZI Inc,UK
11.41,0.19,HSBC FTSE All-World Index Fund Accumulation C,Global
2.73,0.79,JOHCM European Select Val A GBP Inc,Europe
8.11,0.95,M&G Global Emerging Markets Fund Sterling I Acc,Global
12.16,0.12,"
Fidelity Index World Fund P GBP Income",Global
9.69,0.86,Investec Global Special Situations Fund I Inc,Global
12.58,1.36,"
ASI UK Smaller Companies Fund Retail-Inc-GBP-Unhedged",UK
3.26,0.78,LF Canlife Portfolio III Fund C Income,Alternatives and Other
9.57,0.87,Liontrust Special Situations Fund I Inc,UK
10.28,0.32,Schroder QEP Global Core Fund A Income GBP,Global
9.97,0.84,BlackRock UK Special Situations Fund Class S GBP Income,UK
9.69,0.86,Investec Global Special Situations Fund I Acc,Global
5.22,1.1,SEI Global Assets Fund plc - The SEI Balanced Fund Sterling Wealth A Distributing,–
7.96,0.43,Architas Multi Asset Passive Progressive Fund S Net Accumulation Shares,Alternatives and Other
8.07,0.86,Artemis European Opportunities Fund I Inc,Europe
1.72,0.79,Kames Ethical Cautious Managed Fund GBP B Acc,Alternatives and Other
3.26,0.78,LF Canlife Portfolio III Fund C Accumulation,Alternatives and Other
3.44,0.85,M&G Global Convertibles Fund Sterling I Acc,Alternatives and Other
10.3,0.32,Schroder QEP Global Core Fund A Accumulation GBP,Global
6.13,1.15,SEI Global Assets Fund plc - The SEI Growth Fund Sterling Wealth A Distributing,–
7.8,0.9,"
ASI UK Ethical Equity Fund Platform 1-Inc-GBP-Unhedged",UK
9.47,0.45,Barclays Wealth Global Markets 5 R Acc GBP,Alternatives and Other
9.98,0.84,BlackRock UK Special Situations Fund Class S GBP Accumulation,UK
4.56,1.18,IFSL Brooks Macdonald Cautious Growth A Inc,Alternatives and Other
4.41,1.06,SEI Global Assets Fund plc - The SEI Core Fund Sterling Wealth A Distributing,–
10.59,0.24,BlackRock Consensus 100 Fund D Acc,Global
11.76,0.13,Legal & General International Index Trust I Class Distribution,Global
5.25,1.44,MI Hawksmoor The Vanbrugh Fund C Income shares,Alternatives and Other
6.36,0.62,Architas Multi Asset Passive Intermediate Fund Class A Acc,Alternatives and Other
8.06,0.86,Artemis European Opportunities Fund I Acc,Europe
5.3,0.8,M&G Episode Allocation Fund Sterling I Acc,Alternatives and Other
7.93,0.48,Architas Multi Asset Passive Progressive Fund D Net Accumulation Shares,Alternatives and Other
4.55,1.18,IFSL Brooks Macdonald Cautious Growth A Acc,Alternatives and Other
11.8,0.13,Legal & General International Index Trust I Class Accumulation,Global
5.25,1.44,MI Hawksmoor The Vanbrugh Fund C Accumulation shares,Alternatives and Other
4.0,0.87,Santander Atlas Portfolio 4 IA,Alternatives and Other
8.78,0.45,Architas Multi Asset Passive Dynamic Fund S Net Accumulation Shares,Alternatives and Other
7.82,0.9,ASI UK Ethical Equity Fund Platform 1-Acc-GBP-Unhedged,UK
12.16,0.12,"
Fidelity Index World Fund P Accumulation",Global
13.53,0.65,LF Lindsell Train UK Equity Fund Income,UK
11.51,0.86,Liontrust UK Ethical Fund Class 2 Net Accumulation,UK
9.22,0.45,Architas Multi Asset Passive Growth Fund S Net Accumulation Shares,Alternatives and Other
3.66,1.24,Premier Liberation No. IV Class C Income Shares,Alternatives and Other
7.46,0.24,Royal London Japan Tracker Fund Z Acc,Japan
7.51,0.96,Schroder Global Recovery Fund Z Income GBP,Global
4.99,0.94,IFSL Tilney Bestinvest Advanced Passive: Growth Portfolio Clean Acc,–
10.77,0.23,Invesco Global ex UK Enhanced Index Fund (UK) Y (Inc),Global
7.44,1.19,TB Saracen UK Alpha B Acc,UK
8.16,0.22,Vanguard LifeStrategy 80% Equity Fund A Inc,Alternatives and Other
6.2,0.5,Close Tactical Select Passive Balanced Fund X Acc,Alternatives and Other
4.45,0.47,Close Tactical Select Passive Conservative Fund X Inc,Alternatives and Other
13.53,0.65,LF Lindsell Train UK Equity Fund Accumulation,UK
8.74,0.5,Architas Multi Asset Passive Dynamic Fund D Net Accumulation Shares,Alternatives and Other
5.65,0.42,Architas Multi Asset Passive Moderate Fund S Inc,Alternatives and Other
10.77,0.23,Invesco Global ex UK Enhanced Index Fund (UK) Y (Acc),Global
4.19,0.75,LF Canlife Portfolio IV Fund C Income,Alternatives and Other
9.16,0.5,Architas Multi Asset Passive Growth Fund D Net Accumulation Shares,Alternatives and Other
7.85,0.58,Aviva Investors Multi-Asset Fund V R2 GBP Acc,Alternatives and Other
8.16,0.22,Vanguard LifeStrategy 80% Equity Fund A Acc,Alternatives and Other
8.88,0.87,"
ASI UK Responsible Equity Fund I Inc",UK
4.44,0.47,Close Tactical Select Passive Conservative Fund X Acc,Alternatives and Other
7.27,0.18,HSBC Global Strategy Balanced Portfolio Income C,Alternatives and Other
6.51,0.84,Janus Henderson European Growth Fund I Acc,Europe
4.19,0.75,LF Canlife Portfolio IV Fund C Accumulation,Alternatives and Other
7.5,0.96,Schroder Global Recovery Fund Z Accumulation GBP,Global
5.67,0.42,Architas Multi Asset Passive Moderate Fund S Net Acc,Alternatives and Other
4.13,0.16,HSBC Global Strategy Cautious Portfolio Income C,Alternatives and Other
6.1,0.81,HSBC World Selection - Balanced Portfolio Income C,Alternatives and Other
5.61,0.47,Architas Multi Asset Passive Moderate Fund D Inc,Alternatives and Other
8.86,0.87,"
ASI UK Responsible Equity Fund I Acc",UK
7.28,0.18,HSBC Global Strategy Balanced Portfolio Accumulation C,Alternatives and Other
10.68,0.86,M&G Global Themes Fund Sterling I Inc,Global
3.75,1.24,Premier Liberation No. IV Class C Accumulation Shares,Alternatives and Other
7.81,0.63,Architas Multi Asset Passive Progressive Fund Class A Acc,Alternatives and Other
7.3,0.93,"
ASI Multi-Asset Fund I Acc",Alternatives and Other
7.83,0.83,Aviva Investors UK Listed Small and Mid-Cap Fund 2 GBP Acc,UK
9.56,0.84,BlackRock UK Fund S GBP Inc,UK
10.45,1.06,Fidelity Funds - China Focus Fund Y-DIST-GBP,Asia and Emerging Markets
4.12,0.16,HSBC Global Strategy Cautious Portfolio Accumulation C,Alternatives and Other
6.1,0.81,HSBC World Selection - Balanced Portfolio Accumulation C,Alternatives and Other
9.04,0.85,Janus Henderson UK Smaller Companies Fund I Acc,UK
5.61,0.47,Architas Multi Asset Passive Moderate Fund D Net Acc,Alternatives and Other
6.98,0.66,ASI Global Balanced Growth Fund Platform 1-Inc-GBP-Unhedged,Alternatives and Other
3.93,0.22,BlackRock Consensus 35 Fund D Acc,Alternatives and Other
10.46,0.35,Vanguard SRI Global Stock Fund GBP Income,Global
8.13,0.94,"
ASI Eastern European Equity Fund I Acc",Alternatives and Other
9.56,0.84,BlackRock UK Fund S GBP Acc,UK
7.97,1.2,Sun Portfolio Fund Climate Assets B GBP Income,Alternatives and Other
11.53,0.15,Vanguard FTSE Dev World ex UK Equity Index Inc,Global
9.19,1.02,VT Halo Global Asian Consumer B £ Net Inc,Asia and Emerging Markets
6.97,0.66,ASI Global Balanced Growth Fund Platform 1-Acc-GBP-Unhedged,Alternatives and Other
11.66,0.92,Fidelity European Fund W-Income,Europe
10.46,0.35,Vanguard SRI Global Stock Fund GBP Accumulation,Global
4.66,0.75,HC Verbatim Multi-Index Portfolio 4 Fund A Shares,Alternatives and Other
3.85,0.55,LF Prudential Risk Managed Active 1 P Income,Alternatives and Other
8.4,0.48,Vanguard Global Balanced Fund A GBP Inc,Alternatives and Other
11.67,0.92,Fidelity European Fund W Acc,Europe
7.88,0.94,Fidelity Global Property Fund W-Accumulation,Alternatives and Other
14.42,0.83,Investec Global Franchise Fund I Acc,Global
9.13,0.85,Investec Global Quality Equity Income Fund I Acc GBP,Global
22.0,0.83,Investec American Franchise Fund I Acc GBP,North America
9.19,1.02,VT Halo Global Asian Consumer B £ Net Acc,Asia and Emerging Markets
3.91,0.84,World Selection - Conservative Portfolio Income C,Alternatives and Other
5.64,0.82,Architas Multi Asset Blended Intermediate Fund S Net Income Shares,Alternatives and Other
8.61,0.65,Architas Multi Asset Passive Dynamic Fund Class A Acc,Alternatives and Other
8.61,1.07,ASI (SLI) Asian Pacific Growth Equity Fund Platform 1-Acc-GBP-Unhedged,Asia and Emerging Markets
11.73,0.31,Aviva Investors International Index Tracking Fund 2 GBP Acc,Global
3.3,1.05,BMO MM Lifestyle 3 Fund B Acc,Alternatives and Other
8.24,0.83,"
BNY Mellon Continental European Fund Institutional W Income",Europe
8.75,0.75,"
Royal London UK Mid Cap Growth Fund Class Institutional Acc M",UK
3.93,0.84,World Selection - Conservative Portfolio Accumulation C,Alternatives and Other
9.05,0.65,Architas Multi Asset Passive Growth Fund Class A Acc,Alternatives and Other
4.8,0.43,Architas Multi Asset Passive Reserve Fund S Net Accumulation Shares,Alternatives and Other
9.82,0.85,"
ASI UK Mid-Cap Equity Fund I Inc",UK
3.85,0.55,LF Prudential Risk Managed Active 1 P Accumulation,Alternatives and Other
8.39,0.48,Vanguard Global Balanced Fund A GBP Acc,Alternatives and Other
2.64,0.15,Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income,Bonds
7.24,0.8,AXA Global Distribution Fund Z GBP Inc,Alternatives and Other
8.18,0.79,HSBC World Selection - Dynamic Portfolio Income C,Alternatives and Other
8.15,1.2,Sun Portfolio Fund Climate Assets B GBP Accumulation,Alternatives and Other
2.64,0.15,Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Accumulation,Bonds
6.25,0.89,VT Tatton Oak Advanced B Acc,Alternatives and Other
5.63,0.82,Architas Multi Asset Blended Intermediate Fund S Net Accumulation Shares,Alternatives and Other
9.8,0.85,"
ASI UK Mid-Cap Equity Fund I Acc",UK
8.23,0.83,"
BNY Mellon Continental European Fund Institutional W Accumulation",Europe
10.45,0.78,Vanguard Global Emerging Markets Fund A GBP Inc,Asia and Emerging Markets
6.71,0.22,Vanguard LifeStrategy 60% Equity Fund A Inc,Alternatives and Other
6.93,0.8,AXA Global Distribution Fund Z GBP Acc,Alternatives and Other
5.92,1.32,Barclays UK Lower Cap Fund R Dis GBP,UK
4.6,0.99,BMO MM Lifestyle 4 Fund B Acc,Alternatives and Other
3.83,0.57,"
BNY Mellon Investment Funds - Newton International Bond Fund Institutional W Income",Bonds
7.33,0.81,JPM Europe Dynamic (ex-UK) Fund C - Net Accumulation,Europe
6.43,0.85,Merian UK Alpha Fund R GBP Acc,UK
5.26,1.34,Premier Liberation No. VI Class C Accumulation Shares,Alternatives and Other
4.21,0.68,Threadneedle Managed Bond Fund Z Accumulation GBP,Alternatives and Other
3.88,0.22,Vanguard LifeStrategy 20% Equity Fund A Gross Inc,Alternatives and Other
4.78,0.48,Architas Multi Asset Passive Reserve Fund D Net Accumulation Shares,Alternatives and Other
7.03,0.85,Merian UK Mid Cap Fund R GBP Inc,UK
4.71,1.25,SVS Cornelian Growth D Acc,Alternatives and Other
6.74,1.43,"
Architas MA Active Progressive Fund Class A Net Income Shares",Alternatives and Other
6.96,1.23,Architas Multi Asset Active Progressive Fund S Net Income Shares,Alternatives and Other
6.78,0.9,Architas Multi Asset Blended Progressive Fund S Net Accumulation Shares,Alternatives and Other
5.52,0.62,Architas Multi Asset Passive Moderate Fund A Acc,Alternatives and Other
5.92,1.32,Barclays UK Lower Cap Fund R Acc GBP,UK
5.58,1.04,BMO MM Lifestyle 5 Fund B Acc,Alternatives and Other
3.83,0.57,"
BNY Mellon Investment Funds - Newton International Bond Fund Institutional W Accumulation",Bonds
11.88,0.73,Lindsell Train Global Funds plc - Lindsell Train Japanese Equity Fund B Sterling Quoted Inc,Japan
15.53,0.88,Polar Capital Funds PLC - Polar Capital Global Insurance Fund I Inc,Alternatives and Other
3.88,0.22,Vanguard LifeStrategy 20% Equity Fund A Gross Acc,Alternatives and Other
6.71,0.22,Vanguard LifeStrategy 60% Equity Fund A Acc,Alternatives and Other
7.03,0.85,Merian UK Mid Cap Fund R GBP Acc,UK
10.72,0.98,Schroder Global Emerging Markets Fund Z Income GBP,Global
6.79,1.43,"
Architas MA Active Progressive Fund Class A Net Accumulation Shares",Alternatives and Other
6.95,1.23,Architas Multi Asset Active Progressive Fund S Net Accumulation Shares,Alternatives and Other
8.18,0.79,HSBC World Selection - Dynamic Portfolio Accumulation C,Alternatives and Other
6.57,0.76,Rathbone Multi Asset Strategic Growth Portfolio S-Class Income,Alternatives and Other
9.0,0.77,"
Royal London Sustainable Diversified Trust Class C Inc",Alternatives and Other
7.95,0.95,Schroder UK Dynamic Smaller Companies Fund Z Accumulation GBP,UK
10.88,0.91,"
UBS Global Emerging Markets Equity Fund Class C Accumulation Shares (Net)",Global
4.85,0.78,Architas Multi Asset Blended Moderate Fund S Net Income Shares,Alternatives and Other
7.31,0.7,M&G Pan European Select Fund Sterling I Acc,Europe
6.2,0.9,Man Stockmarket Managed Fund Professional Accumulation Shares (Class C),Alternatives and Other
6.57,0.76,Rathbone Multi Asset Strategic Growth Portfolio S-Class Accumulation,Alternatives and Other
9.01,0.77,"
Royal London Sustainable Diversified Trust Class C Acc",Alternatives and Other
10.72,0.98,Schroder Global Emerging Markets Fund Z Accumulation GBP,Global
6.75,0.24,Vanguard Target Retirement 2025 Fund Accumulation Shares,Alternatives and Other
10.51,0.9,Invesco Asian Fund (UK) Y (Inc),Asia and Emerging Markets
4.87,0.78,Architas Multi Asset Blended Moderate Fund S Net Accumulation Shares,Alternatives and Other
7.65,0.93,Liontrust Sustainable Future European Growth Fund Class 2 Net Accumulation,Europe
8.36,0.9,BlackRock Balanced Growth Portfolio S GBP Inc,Alternatives and Other
9.22,0.93,BMO Select European Equity Fund 2 Inc,Europe
6.28,0.67,BNY Mellon Investment Funds - Newton Multi-Asset Growth Fund Institutional W Income,Alternatives and Other
8.48,0.91,Capital Group Global Allocation Fund (LUX) Zd GBP,Alternatives and Other
10.51,0.9,Invesco Asian Fund (UK) Y (Acc),Asia and Emerging Markets
8.1,0.9,Neptune Emerging Markets Fund C Acc GBP,Global
5.06,0.74,FP Octopus Dynamic Mixed Asset B Acc,Alternatives and Other
20.51,0.75,"
JP Morgan US Small Cap Growth Fund C Shares Net Accumulation",North America
9.09,0.19,HSBC Global Strategy Dynamic Portfolio Income C,Alternatives and Other
9.22,0.82,Marlborough European Multi-Cap Fund Class P Income,Europe
4.62,1.36,T. Bailey Dynamic A Income,Alternatives and Other
4.29,0.78,Threadneedle Managed Bond Focused Fund Z Accumulation GBP,Alternatives and Other
8.37,0.9,BlackRock Balanced Growth Portfolio S GBP Acc,Alternatives and Other
6.28,0.67,BNY Mellon Investment Funds - Newton Multi-Asset Growth Fund Institutional W Accumulation,Alternatives and Other
